=== SOAK START 2026-06-26 12:22:34 ===
[13:13:29] eranda-collector CPU=61.08% MEM=505.7MiB / 3.819GiB eranda-redis CPU=6.16% MEM=22.36MiB / 3.819GiB  || CONSUMER-1 q=0 keys=26 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[13:15:32] eranda-collector CPU=180.19% MEM=506.1MiB / 3.819GiB eranda-redis CPU=2.30% MEM=22.38MiB / 3.819GiB  || CONSUMER-1 q=0 keys=26  || reconnect_olayı(son200satır)=0
[13:17:34] eranda-collector CPU=143.85% MEM=505.7MiB / 3.819GiB eranda-redis CPU=2.25% MEM=21.7MiB / 3.819GiB  || CONSUMER-1 q=6 keys=26 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[13:19:36] eranda-collector CPU=181.44% MEM=505.5MiB / 3.819GiB eranda-redis CPU=12.59% MEM=23.33MiB / 3.819GiB  || CONSUMER-1 q=0 keys=26 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[13:21:37] eranda-collector CPU=157.18% MEM=517.1MiB / 3.819GiB eranda-redis CPU=2.83% MEM=23.2MiB / 3.819GiB  || CONSUMER-1 q=0 keys=26 CONSUMER-0 q=2920 keys=39  || reconnect_olayı(son200satır)=0
[13:23:40] eranda-collector CPU=234.29% MEM=548.5MiB / 3.819GiB eranda-redis CPU=5.20% MEM=23.87MiB / 3.819GiB  || CONSUMER-1 q=983 keys=34 CONSUMER-0 q=4847 keys=39  || reconnect_olayı(son200satır)=0
[13:25:42] eranda-collector CPU=209.89% MEM=566.9MiB / 3.819GiB eranda-redis CPU=1.96% MEM=24.9MiB / 3.819GiB  || CONSUMER-0 q=5590 keys=39 CONSUMER-1 q=970 keys=37  || reconnect_olayı(son200satır)=0
[13:27:45] eranda-collector CPU=213.65% MEM=577MiB / 3.819GiB eranda-redis CPU=4.43% MEM=25.23MiB / 3.819GiB  || CONSUMER-1 q=2092 keys=39 CONSUMER-0 q=6763 keys=39  || reconnect_olayı(son200satır)=0
[13:29:47] eranda-collector CPU=211.52% MEM=598.6MiB / 3.819GiB eranda-redis CPU=1.67% MEM=26.03MiB / 3.819GiB  || CONSUMER-1 q=2815 keys=39 CONSUMER-0 q=7758 keys=39  || reconnect_olayı(son200satır)=0
[13:31:50] eranda-collector CPU=218.40% MEM=617.1MiB / 3.819GiB eranda-redis CPU=1.67% MEM=25.07MiB / 3.819GiB  || CONSUMER-1 q=3637 keys=39 CONSUMER-0 q=9371 keys=39  || reconnect_olayı(son200satır)=0
